Name,Points,PerKr,URL,ImgURL
Chilimobil,1,,https://onlineshopping.flysas.com/se/chili-mobil/19225/,https://onlineshopping.flysas.com/Images/Shops/chili-mobil/se.jpg
Clarins,50,100,https://onlineshopping.flysas.com/se/clarins/19427/,https://onlineshopping.flysas.com/Images/Shops/clarins/se.jpg
Climbing247,25,100,https://onlineshopping.flysas.com/se/climbing247/18189/,https://onlineshopping.flysas.com/Images/Shops/climbing247/se.jpg
Club Creo,500,,https://onlineshopping.flysas.com/se/club-creo/18702/,https://onlineshopping.flysas.com/Images/Shops/club-creo/se.jpg
Cocopanda,25,100,https://onlineshopping.flysas.com/se/cocopanda/18520/,https://onlineshopping.flysas.com/Images/Shops/cocopanda/se.jpg
Comforth Scandinavia,50,100,https://onlineshopping.flysas.com/se/comforth-scandinavia/19567/,https://onlineshopping.flysas.com/Images/Shops/comforth-scandinavia/se.jpg
Computersalg,10,100,https://onlineshopping.flysas.com/se/computersalg/19053/,https://onlineshopping.flysas.com/Images/Shops/computersalg/se.jpg
COMVIQ,1,,https://onlineshopping.flysas.com/se/comviq-1/19449/,https://onlineshopping.flysas.com/Images/Shops/comviq-1/se.jpg
Confident Living,25,100,https://onlineshopping.flysas.com/se/confident-living-/18408/,https://onlineshopping.flysas.com/Images/Shops/confident-living-/se.jpg
Confidentsmile,250,,https://onlineshopping.flysas.com/se/confidentsmile--sas-se/18556/,https://onlineshopping.flysas.com/Images/Shops/confidentsmile--sas-se/se.jpg
Conrad,25,100,https://onlineshopping.flysas.com/se/conrad/18848/,https://onlineshopping.flysas.com/Images/Shops/conrad/se.jpg
Coolshop,10,100,https://onlineshopping.flysas.com/se/coolshop/13104/,https://onlineshopping.flysas.com/Images/Shops/coolshop/se.jpg
Coopers Candy,50,100,https://onlineshopping.flysas.com/se/coopers-candy/19105/,https://onlineshopping.flysas.com/Images/Shops/coopers-candy/se.jpg
COS,25,100,https://onlineshopping.flysas.com/se/cos/19040/,https://onlineshopping.flysas.com/Images/Shops/cos/se.jpg
CyberGhost VPN,100,100,https://onlineshopping.flysas.com/se/cyberghost-vpn/19251/,https://onlineshopping.flysas.com/Images/Shops/cyberghost-vpn/se.jpg
Däck 247,500,,https://onlineshopping.flysas.com/se/dack247/18230/,https://onlineshopping.flysas.com/Images/Shops/dack247/se.jpg
dackonline.se,15,100,https://onlineshopping.flysas.com/se/dackonline.se-1/18481/,https://onlineshopping.flysas.com/Images/Shops/dackonline.se-1/se.jpg
Dagens Industri,500,,https://onlineshopping.flysas.com/se/dagens-industri/18554/,https://onlineshopping.flysas.com/Images/Shops/dagens-industri/se.jpg
Daily Sports,50,100,https://onlineshopping.flysas.com/se/dailysports/12497/,https://onlineshopping.flysas.com/Images/Shops/dailysports/se.jpg
Daniel Wellington,50,100,https://onlineshopping.flysas.com/se/daniel-wellington/19437/,https://onlineshopping.flysas.com/Images/Shops/daniel-wellington/se.jpg
Daynight Casual,25,100,https://onlineshopping.flysas.com/se/daynight-casual/19279/,https://onlineshopping.flysas.com/Images/Shops/daynight-casual/se.jpg
Db Journey,25,100,https://onlineshopping.flysas.com/se/db-journey/19417/,https://onlineshopping.flysas.com/Images/Shops/db-journey/se.jpg
